Time (s),Voltage (V)
3.75106080241494E-6,0.0306855328381062
2.03751055664725E-4,0.030525179579854
0.00100375103548345,0.0317519716918469
0.0020037510101929,0.0330501869320869
0.00320375097987835,0.0341574884951115
0.00440375094959222,0.0352647937834263
0.00560375091930609,0.0362957268953323
0.00680375088899154,0.0374030321836472
0.00820375085356773,0.0384530574083328
0.00980375081320517,0.0395030863583088
0.0114037507728142,0.0408585779368877
0.0130037507323095,0.0419658794999123
0.0148037506868945,0.0430159047245979
0.0166037506414227,0.0440468415617943
0.0186037505908985,0.0450968705117702
0.0206037505404026,0.0461850799620152
0.0226037504897931,0.0472351089119911
0.0246037504393257,0.0482660457491875
0.0266037503888015,0.0493351630866528
0.0284037503433012,0.0503660999238491
0.0308037502827005,0.0514352209866047
0.0330037502270955,0.0525234304368496
0.0352037501714904,0.0535543672740459
0.0376037501109181,0.0546234846115112
0.0400037500503174,0.0556544214487076
0.0426037499846075,0.0567235425114632
0.0450037499240068,0.0577353872358799
0.047403749863264,0.0587854161858559
0.0504037497874776,0.0597972609102726
0.0526037497319862,0.0608472861349583
0.055403749661167,0.0618973150849342
0.0582037495904615,0.0629855245351791
0.061403749509708,0.0639973729848862
0.0648037494237883,0.0652192234992981
0.0678037493480019,0.0662501603364944
0.0708037492721871,0.0673765540122986
0.0740037491914052,0.0686174929141998
0.0780037490902998,0.0696675255894661
0.0816037489993846,0.0707939192652702
0.0848037489185174,0.0718630328774452
0.0878037488426742,0.0729130655527115
0.0918037487417109,0.0740585476160049
0.095403748650682,0.0751467570662498
0.0996037485446095,0.0762158781290054
0.103203748453666,0.0772468149662018
0.106803748362779,0.0782968401908875
0.111003748256707,0.0793086886405945
0.114203748175782,0.0803205296397209
0.118003748079786,0.0813514664769173
0.122403747968718,0.0825542286038399
0.127003747852513,0.0835660696029663
0.130803747756488,0.0845779180526733
0.135403747640311,0.0856470391154289
0.139403747539205,0.0867543369531631
0.144203747418004,0.087861642241478
0.149003747296689,0.0889116674661636
0.15320374719056,0.0899998769164085
0.158003747069301,0.0910499095916748
0.163203746937995,0.0920999348163605
0.167403746831866,0.0931499600410461
0.172203746710579,0.0941618084907532
0.177803746569083,0.0951927453279495
0.182803746442772,0.0963000431656837
0.188203746306385,0.0974455326795578
0.193203746180075,0.0984764695167542
0.198803746038578,0.0996410399675369
0.204803745887091,0.10082471370697
0.211203745725413,0.101989284157753
0.216603745588998,0.103039316833019
0.222403745442506,0.104051157832146
0.227803745305977,0.105101190507412
0.233603745159485,0.106189399957657
0.240603744982707,0.107277609407902
0.245603744856396,0.108289450407028
0.251603744704823,0.109339483082295
0.257203744563299,0.110370419919491
0.263803744396597,0.111382260918617
0.269803744245024,0.112413197755814
0.276203744083404,0.113577775657177
0.284003743886302,0.114627800881863
0.289203743754911,0.11563964933157
0.296403743573109,0.116689674556255
0.303003743406293,0.117758795619011
0.309803743234482,0.118885189294815
0.317003743052709,0.119916126132011
0.324603742860688,0.120927967131138
0.331203742693901,0.121997088193893
0.3378037425272,0.123066209256649
0.345603742330184,0.124078050255775
0.351403742183578,0.125089898705483
0.3602037419613,0.12610174715519
0.367203741784465,0.127170860767365
0.374003741612682,0.128182709217072
0.38160374142069,0.129194557666779
0.389803741213598,0.130263671278954
0.396603741041815,0.13129460811615
0.405603740814399,0.132325544953346
0.412003740652807,0.133356481790543
0.421203740420282,0.13436833024025
0.429603740208108,0.135494723916054
0.437403740011092,0.136506572365761
0.446003739793809,0.137556597590447
0.454003739591712,0.138663902878761
0.462403739379482,0.139713928103447
0.47140373915218,0.140783041715622
0.48100373890972,0.141833066940308
0.489603738692381,0.142844915390015
0.498003738480207,0.143875852227211
0.507603738237719,0.145002245903015
0.516603738010303,0.146224096417427
0.52720373774261,0.147255033254623
0.536003737520304,0.148305058479309
0.546203737262601,0.149316906929016
0.553403737080686,0.150328755378723
0.564603736797807,0.151455149054527
0.573003736585605,0.152466997504234
0.584003736307722,0.153555199503899
0.592803736085386,0.154567047953606
0.604003735802394,0.15569344162941
0.61300373557512,0.156762555241585
0.624403735287132,0.157774403691292
0.633203735064797,0.158805340528488
0.644403734781775,0.159893557429314
0.653803734544397,0.160943582653999
0.664203734281699,0.161955416202545
0.675203734003787,0.162986353039741
0.685403733746085,0.164017289876938
0.695803733483388,0.165086418390274
0.705803733230681,0.166098266839981
0.718003732922512,0.167243748903274
0.729203732639576,0.16831286251545
0.739803732371826,0.169343799352646
0.750603732099023,0.170355647802353
0.762403731800902,0.17136749625206
0.77240373154828,0.172398433089256
0.784403731245078,0.173410266637802
0.794803730982409,0.174422115087509
0.806603730684287,0.175472140312195
0.816603730431723,0.176503077149391
0.829403730108282,0.177534013986588
0.841603729800113,0.178564950823784
0.852203729532391,0.17959588766098
0.864403729224222,0.180626824498177
0.875203728951305,0.181676849722862
0.888203728622898,0.182707786560059
0.900403728314672,0.183738723397255
0.912003728021688,0.184884205460548
0.926603727652889,0.186010599136353
0.939803727319401,0.187060639262199
0.951203727031384,0.188167929649353
0.964603726692928,0.189294323325157
0.978203726349307,0.190363451838493
0.99040372604108,0.191375285387039
1.00380372570262,0.192444413900375
1.01700372536922,0.193608984351158
1.03160372500031,0.194678112864494
1.0456037246467,0.195709049701691
1.05740372434857,0.196720883250237
1.07080372401009,0.197828188538551
1.08600372362608,0.198840036988258
1.09820372331791,0.199851885437965
1.11080372299961,0.200978279113769
1.12540372263081,0.201990112662315
1.14000372226189,0.203078329563141
1.15360372191839,0.204204723238945
1.16840372154448,0.205235660076141
1.18360372116052,0.206285685300827
